Model,Resampler,Accuracy,Precision,Recall,F1 Score,AUC-ROC
logreg,RandomUndersampling,0.666675154910449,0.8292292553571746,0.6762817362817363,0.7435133997607333,0.6590857479288448
RF,RandomUndersampling,0.6471776589423648,0.8262527036208261,0.6456183456183456,0.7244605193783145,0.6483662054754196
XGB,RandomUndersampling,0.66937441643324,0.8435098366746306,0.6637837837837838,0.7416521762250405,0.6736868665629336
bagging,RandomUndersampling,0.5924879042526101,0.8279511698933361,0.5479770679770679,0.6581357058712297,0.6274485890912149
LGB,RandomUndersampling,0.6758169934640523,0.847503237074649,0.6709582309582309,0.7479629670534194,0.6796290844863114
KNN,RandomUndersampling,0.6353874883286649,0.8102861432718294,0.6437018837018836,0.7166003129672853,0.6288573951806216
SVC,RandomUndersampling,0.7069688481453188,0.8621616057926863,0.7069123669123669,0.7758930532129564,0.7070145927078515
GNB,RandomUndersampling,0.4683473389355742,0.719843046936643,0.4182473382473382,0.3966870377831001,0.5074393372303293
stack,RandomUndersampling,0.5781257957728545,0.6969705213083012,0.7324160524160523,0.7140366389958639,0.4568821228815342
logreg,ROS,0.6966301672184024,0.8277651986006994,0.7305814905814906,0.7752171315684533,0.66993145212162
RF,ROS,0.7591630591630592,0.7831637357102158,0.9204914004914004,0.8461790820138774,0.6323100214474957
XGB,ROS,0.7734487734487734,0.803357963668003,0.9078296478296478,0.8521458962272479,0.6678413726397241
bagging,ROS,0.7031406501994738,0.7881006809829604,0.8047338247338247,0.7961652554493963,0.6232810463013583
LGB,ROS,0.7617180205415499,0.7980771719000027,0.8969860769860769,0.8442162501168633,0.6554396736616341
KNN,ROS,0.7134453781512605,0.7942617016011512,0.8135954135954137,0.8030143635927907,0.634778586147441
SVC,ROS,0.7434852728970376,0.814542308463162,0.8336281736281735,0.8238601346241374,0.6726313133437066
GNB,ROS,0.3151175621763857,0.7538794538794539,0.0705323505323505,0.1280231292098545,0.507355229404096
stack,ROS,0.7331041507512096,0.762761374979934,0.916887796887797,0.8314995406057161,0.5886412380672021
logreg,SMOTE,0.6745098039215687,0.826195139873982,0.6943816543816543,0.7532187112569864,0.6588250136675217
RF,SMOTE,0.7513368983957219,0.7957818321845973,0.8807043407043407,0.8360056726675505,0.649627822868918
XGB,SMOTE,0.7708513708513708,0.8183852627163171,0.8770843570843571,0.8462188299836475,0.6873543883258336
bagging,SMOTE,0.6927765045412103,0.808116345070523,0.7505159705159705,0.7778524813813676,0.6473190630388158
LGB,SMOTE,0.7695187165775401,0.8143426101930441,0.8824406224406225,0.8464394019650591,0.6807645401404601
KNN,SMOTE,0.6418130888719125,0.8435405870958981,0.6182309582309582,0.7119961689139935,0.6603852138441482
SVC,SMOTE,0.7473983532807063,0.8167467877253622,0.8372481572481572,0.826745441258349,0.6767652130030699
GNB,SMOTE,0.3151175621763857,0.7538794538794539,0.0705323505323505,0.1280231292098545,0.507355229404096
stack,SMOTE,0.7525761819879466,0.7968852014738284,0.8842588042588042,0.8368525313003543,0.6491105597375836
logreg,Baseline,0.740862405568288,0.7715713854410982,0.9131531531531532,0.8355175525196257,0.6054375709659784
RF,Baseline,0.7474238180120534,0.7532234814993435,0.9657002457002456,0.8461843749786506,0.575844232305816
XGB,Baseline,0.777336389101095,0.7941869880945933,0.9331203931203932,0.8577974301299213,0.6549182051389881
bagging,Baseline,0.71484593837535,0.770147917267025,0.8607534807534807,0.8126972505915635,0.6001471886959082
LGB,Baseline,0.7656395891690009,0.790677311969564,0.9186895986895988,0.8494177539263162,0.6453593506875814
KNN,Baseline,0.7134453781512605,0.7942617016011512,0.8135954135954137,0.8030143635927907,0.634778586147441
SVC,Baseline,0.7460911637382226,0.8164809849114789,0.8354463554463555,0.8256530285293957,0.6758610538710628
GNB,Baseline,0.7200492318139377,0.7200492318139377,1.0,0.837242269890236,0.5
stack,Baseline,0.7135472370766489,0.7216823829755165,0.9801474201474202,0.8312408439027712,0.5040077379200135
AdaBoost,RandomUndersampling,0.6396396396396397,0.8068181818181818,0.6396396396396397,0.7135678391959798,0.674209092813744
SVM,RandomUndersampling,0.7117117117117117,0.8586956521739131,0.7117117117117117,0.7783251231527094,0.4615545778336476
